"","chromosome","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"36030_at","chr7",0.38114851426292,6.34491851087209,4.36674876925445,7.24385372001507e-05,0.999634798579701,-0.616302755653892
"209216_at","chr16",0.324308464595067,9.09777855506066,4.13596243597483,0.00015113910676451,0.999634798579701,-0.977358226351375
"217087_at","chr3",0.352606795889002,7.32256346649772,4.02736630900791,0.000212576268940693,0.999634798579701,-1.14608271564741
"211763_s_at","chr19",0.267734693907856,9.6376882847357,3.86831665776643,0.00034812329638755,0.999634798579701,-1.3913853618389
"216317_x_at","chr22",0.223030853053809,6.68852186497013,3.79267049864282,0.000438934535729492,0.999634798579701,-1.50716104907233
"201076_at","chr1",0.261061721130254,8.6180984701297,3.76085028387411,0.000483613946722635,0.999634798579701,-1.55566818996952
"207736_s_at","chr15",0.18265625562853,4.6039931875807,3.63831680975484,0.000700163872324267,0.999634798579701,-1.74128590783692
"204793_at","chr11",0.353017664179867,5.88650804992592,3.58640687374824,0.000817670055746897,0.999634798579701,-1.81931312614731
"207095_at","chr14",-0.166365513339965,4.12762935061453,-3.55311780788572,0.000902734215611693,0.999634798579701,-1.86914588221266
"212801_at","chr19_GL949752v1_alt",0.348432329837628,6.39697954652438,3.53315133666147,0.000957752909506606,0.999634798579701,-1.89895546107766
"205070_at","chr12",0.36605862530041,7.55153347245237,3.52428696068992,0.000983194596694666,0.999634798579701,-1.91217026946178
"205497_at","chr12",0.315119070550328,5.26209395503261,3.50150714071264,0.00105157372106799,0.999634798579701,-1.94607383113946
"208833_s_at","chr16",0.185302901208653,11.0117427578518,3.41214715543664,0.00136628114959528,0.999634798579701,-2.0782591402187
"202630_at","chr1",0.434765650170449,8.07912582097462,3.38883340511524,0.00146210290622279,0.999634798579701,-2.1125242198854
"202387_at","chr1",0.288247470741855,9.5125844766676,3.38650603088236,0.00147201232819406,0.999634798579701,-2.1159396333437
"210542_s_at","chr17",0.193236451685657,5.64763315024011,3.38188675858633,0.00149186979813875,0.999634798579701,-2.12271556988149
"208844_at","chr16",0.280414191015927,4.91055915737994,3.37885496076001,0.00150504128287386,0.999634798579701,-2.12716081425486
"218746_at","chr5",0.324466962751673,6.84752254635422,3.37618644339141,0.00151672601515863,0.999634798579701,-2.13107206485803
"219022_at","chr5",0.324367849688473,6.67301777477347,3.37577406082952,0.00151853941210821,0.999634798579701,-2.13167638180429
"206587_at","chr14",0.453947119799076,7.20221769962681,3.37181991812575,0.00153603226319404,0.999634798579701,-2.13746935570018
"44669_at","chr7",0.367017918528248,7.90616611790826,3.35135525224684,0.00162967244411158,0.999634798579701,-2.16740606744198
"204807_at","chr11",0.41364568606224,6.59776232811212,3.34698321525347,0.00165036933876006,0.999634798579701,-2.17379187390363
"47608_at","chr7",0.22427128173019,7.76390160235561,3.34609483378703,0.00165460530100961,0.999634798579701,-2.17508901984491
"205621_at","chr12",0.284656975299714,7.2949505465493,3.33641500198207,0.00170143518094193,0.999634798579701,-2.18921339846334
"218747_s_at","chr5",0.320206466299419,7.5832092967083,3.321824591884,0.00177440816075769,0.999634798579701,-2.21047042586447
"51176_at","chr7",0.231941868389428,7.66722297674774,3.29150893628686,0.00193564122387544,0.999634798579701,-2.25451035977917
"218419_s_at","chr4",0.292305781569328,7.16177853787656,3.28382477453998,0.00197866444816552,0.999634798579701,-2.26564548607286
"209304_x_at","chr17",0.487141610686162,11.9466316379308,3.27331331988048,0.00203898790870915,0.999634798579701,-2.28085921983394
"218134_s_at","chr4",0.287473596726146,8.70180944995038,3.248545298022,0.00218809246962511,0.999634798579701,-2.31662198580218
"213018_at","chr19_KI270891v1_alt",0.298768706355013,6.97344704007236,3.2448359315892,0.00221129289820426,0.999634798579701,-2.32196756474074
"203933_at","chr11",0.277537830689091,7.16896583691551,3.23566006510618,0.00226968845216258,0.999634798579701,-2.33517916391118
"207574_s_at","chr15",0.458821167371404,13.0515245418792,3.22540571731973,0.00233667339588558,0.999634798579701,-2.34992362515417
"214211_at","chr2",0.327200534434024,10.0744218730312,3.20046192011778,0.00250750609331902,0.999634798579701,-2.3857006726446
"202005_at","chr1",-0.259649982860656,7.25141581252403,-3.17297083905639,0.0027094308939511,0.999634798579701,-2.42498275001305
"219421_at","chr5",0.341421377069051,7.77573894543513,3.16238637082571,0.00279119222626528,0.999634798579701,-2.44006470248949
"200617_at","chr1",-0.453684583943148,7.3273499727671,-3.13881600008543,0.00298170407000997,0.999634798579701,-2.47356475202426
"212698_s_at","chr19_GL949748v2_alt",0.290132455100588,10.4852507006943,3.1370401895306,0.00299654317007528,0.999634798579701,-2.47608383735966
"207616_s_at","chr15",0.224274834475347,9.56904592211423,3.13527383192817,0.00301137230170553,0.999634798579701,-2.47858883640379
"211678_s_at","chr19",0.226367200973831,9.69637363001762,3.12453700456055,0.00310300955901811,0.999634798579701,-2.49380093234429
"221233_s_at","chr6_GL000251v2_alt",-0.164287904446473,3.64982779335759,-3.12415188454719,0.00310634480475003,0.999634798579701,-2.49434610959709
"219306_at","chr5",0.199092583726868,4.06781292431083,3.10608086008546,0.00326669572179508,0.999634798579701,-2.51989092593508
"214499_s_at","chr2",-0.338615769431815,8.65015065191249,-3.1048803631669,0.00327761955944766,0.999634798579701,-2.5215853722814
"200714_x_at","chr1",-0.220404827513491,9.49273198642727,-3.10010646557743,0.00332140037278888,0.999634798579701,-2.52832034661798
"209174_s_at","chr16",0.197719146890962,7.60776680819682,3.095561739873,0.00336359021625632,0.999634798579701,-2.53472729800031
"209740_s_at","chr17",0.511567187942151,6.697745541468,3.09070412611152,0.0034092417721398,0.999634798579701,-2.54157024856952
"54037_at","chr7",0.188302921462832,5.63107022617377,3.08766842476222,0.0034380663009332,0.999634798579701,-2.54584397787286
"206337_at","chr13",0.204860356544451,4.7184066905626,3.08405649994769,0.00347266070345948,0.999634798579701,-2.55092623259775
"220421_at","chr6",0.221273727543789,4.77238366691491,3.08402787240952,0.00347293619586209,0.999634798579701,-2.55096650201831
"214323_s_at","chr2",0.284236989343215,9.35850889873388,3.08096184657357,0.0035025608264879,0.999634798579701,-2.55527831166769
"201466_s_at","chr1",0.656749446380784,10.8300873403827,3.07677427047159,0.00354340606294479,0.999634798579701,-2.5611639517971
"211127_x_at","chr19",0.1479928081742,4.06092237671595,3.07417523321773,0.00356898154249123,0.999634798579701,-2.56481490518702
"218789_s_at","chr5",0.285263307934571,8.63859720311711,3.05552998119818,0.00375760718525515,0.999634798579701,-2.59096143468067
"217961_at","chr4",0.338539099779009,8.73581298181608,3.05284818182006,0.00378549555263123,0.999634798579701,-2.5947156182725
"217332_at","chr3",0.167593935067321,4.3018155291022,3.05253938215985,0.00378871924558928,0.999634798579701,-2.59514779291781
"217359_s_at","chr3",0.180206240441527,4.3260772011449,3.03668359234029,0.00395775100438395,0.999634798579701,-2.6173088398766
"203745_at","chr11",0.293524368868962,8.35820480619754,3.00998498129159,0.00425845260747398,0.999634798579701,-2.65449184617205
"218276_s_at","chr4",0.275408583209027,7.70774050697971,3.00715538879386,0.00429154702129645,0.999634798579701,-2.65842274360738
"221436_s_at","chr6_GL000252v2_alt",0.292505976182992,5.49651459019576,3.00623733069603,0.00430233612872314,0.999634798579701,-2.65969770991526
"212400_at","chr19",-0.546731760784119,7.45466321111703,-3.00360889983324,0.00433336637100226,0.999634798579701,-2.66334687124648
"211195_s_at","chr19",0.181043137761255,4.43738904711256,2.9997809877627,0.00437893232820924,0.999634798579701,-2.66865837595767
"38157_at","chr7",0.251609559209806,7.54138204336035,2.99360450758768,0.00445340183946212,0.999634798579701,-2.67722129891898
"202405_at","chr1",0.28701568094316,6.95057873173183,2.98920397546229,0.00450718028854082,0.999634798579701,-2.68331650542129
"215734_at","chr21",0.4435701526611,5.23234640206201,2.98776981489267,0.00452483793631358,0.999634798579701,-2.6853019639472
"218955_at","chr5",0.184786154646781,6.99863370240677,2.98158902095509,0.00460168027741692,0.999634798579701,-2.69385300456268
"201010_s_at","chr1",0.553327192306581,11.2875349778387,2.97775711735497,0.00464993148526069,0.999634798579701,-2.69914974702703
"202311_s_at","chr1",-0.194128775048455,4.52282174639764,-2.97117170209953,0.00473396197248119,0.999634798579701,-2.70824426703084
"220138_at","chr6",0.221153058797688,5.20977997964382,2.95812316345791,0.00490467282203648,0.999634798579701,-2.72623314001066
"210482_x_at","chr17",0.268773359447469,5.89749751135663,2.95811524368081,0.00490477815978539,0.999634798579701,-2.72624404562887
"201173_x_at","chr1",0.257889682592602,9.85401638795623,2.95740529557543,0.00491422948560488,0.999634798579701,-2.72722158909984
"212111_at","chr19",0.239664552809002,8.40019592049089,2.95068152046544,0.00500458870701269,0.999634798579701,-2.73647354605084
"218122_s_at","chr4",0.207816897443967,7.20335306970817,2.94934494855395,0.00502273451061787,0.999634798579701,-2.7383113471049
"221114_at","chr6_GL000251v2_alt",0.208947576556985,4.7970620995724,2.94931191179855,0.00502318380735831,0.999634798579701,-2.73835676740874
"208051_s_at","chr15",0.309890182206837,8.61228785746362,2.93404671089113,0.00523485248146273,0.999634798579701,-2.75931500090103
"202334_s_at","chr1",0.274843704055222,9.72761171889395,2.92947367393761,0.00529986533520256,0.999634798579701,-2.76558219897063
"218467_at","chr4",0.184786876811758,11.5600519607477,2.92676642818383,0.00533870727686349,0.999634798579701,-2.76928992016293
"218378_s_at","chr4",0.259991208789355,6.77057436177252,2.92248115610321,0.0054007330873132,0.999634798579701,-2.77515506853346
"207121_s_at","chr14",-0.267148837840228,11.0555180530523,-2.9208711492014,0.00542420983938268,0.999634798579701,-2.77735745083497
"213473_at","chr2",0.328148771248937,7.17875449574691,2.9075024498756,0.00562285755587484,0.999634798579701,-2.79561961686647
"201738_at","chr1",0.321270481178638,11.1219260405611,2.90585663757527,0.00564777638599697,0.999634798579701,-2.79786472409625
"218576_s_at","chr4",0.210660246087878,8.16221371474545,2.90285947984241,0.0056934201475055,0.999634798579701,-2.80195147307493
"210062_s_at","chr17",0.156477458663371,4.38544545493802,2.89358442910844,0.00583685685086966,0.999634798579701,-2.81458383912429
"212453_at","chr19",0.272185314726643,8.01476453936907,2.89241813398151,0.00585512969876166,0.999634798579701,-2.81617073995828
"202580_x_at","chr1",0.242821474536225,5.42056633107272,2.88029303151071,0.00604828021360809,0.999634798579701,-2.83264780231939
"217389_s_at","chr3",-0.338961848031595,7.17446748279858,-2.87997267079302,0.0060534630106383,0.999634798579701,-2.8330826321471
"213506_at","chr2",-0.833528191629309,9.38593009504103,-2.87229732920527,0.00617887720134205,0.999634798579701,-2.84349250907201
"207417_s_at","chr15",0.226377585142838,4.79201828763446,2.87153301610062,0.0061914974445207,0.999634798579701,-2.84452828929298
"203246_s_at","chr10",0.240464760544262,8.34093368739591,2.86690322915,0.00626845784333966,0.999634798579701,-2.85079921742834
"202310_s_at","chr1",-0.323839683552833,5.41727219108599,-2.86629441869704,0.00627864395504373,0.999634798579701,-2.85162341917687
"209962_at","chr17",0.21763076344714,4.88729002756008,2.86213931700546,0.00634857573165468,0.999634798579701,-2.85724596599337
"218370_s_at","chr4",0.336159656013837,6.08229819631254,2.86174731115126,0.00635521057250863,0.999634798579701,-2.85777618192403
"208745_at","chr16",0.310986152144036,9.61503719586097,2.85355819479578,0.00649529680610365,0.999634798579701,-2.86884331697126
"219588_s_at","chr5",0.247163102354648,5.57175800666054,2.85287288349745,0.00650714919977794,0.999634798579701,-2.86976867664406
"202111_at","chr1",-0.198125311972306,6.86066471945583,-2.84302728332344,0.00667966122635225,0.999634798579701,-2.88304925784297
"211508_s_at","chr19",0.133167111697155,3.91857532996212,2.84211834840986,0.00669579969409169,0.999634798579701,-2.88427401158796
"221330_at","chr6_GL000251v2_alt",0.2660509958663,4.52464501188296,2.8303948915096,0.0069072249930192,0.999634798579701,-2.90005119414003
"218697_at","chr5",0.258986284681017,7.04131036496825,2.82648124580777,0.00697917352353016,0.999634798579701,-2.90530992277434
"214334_x_at","chr2",0.163719424669521,12.0099155158188,2.825121838325,0.00700432718819311,0.999634798579701,-2.90713558488134
"219820_at","chr6",0.36191898933299,5.86056246746637,2.82430874760208,0.00701941230652547,0.999634798579701,-2.90822731539791
"201041_s_at","chr1",0.472991322966232,13.5142487884929,2.82130378965304,0.00707542464297936,0.999634798579701,-2.9122605072691
"202465_at","chr1",0.508497135440643,8.03238542591079,2.82101195758451,0.00708088641555295,0.999634798579701,-2.91265206880245
"218344_s_at","chr4",0.346461275192459,5.86318335755979,2.81858969216615,0.00712637140939366,0.999634798579701,-2.91590122387984
"218850_s_at","chr5",0.29404704088795,5.41276137452655,2.81206865587795,0.00725017277155598,0.999634798579701,-2.92464048151227
"202632_at","chr1",0.166574490622883,8.42726936235734,2.81070799825319,0.00727625491226628,0.999634798579701,-2.92646253596049
"209482_at","chr17",0.289535848099739,9.55321700843902,2.80505694537133,0.00738551216793388,0.999634798579701,-2.93402447992534
"219638_at","chr5",0.189921109144652,4.80194862429681,2.80294813328781,0.00742667196772558,0.999634798579701,-2.93684415940585
"202081_at","chr1",0.464520938079293,11.338611217947,2.80267692705515,0.00743198077023111,0.999634798579701,-2.93720669974474
"211804_s_at","chr19",0.215715137176829,5.33915178892802,2.80265796043779,0.0074323521691294,0.999634798579701,-2.93723205299947
"205675_at","chr12",-0.375767375984651,11.5235196338368,-2.80247148742052,0.0074360045464581,0.999634798579701,-2.93748131194212
"204846_at","chr11",-0.378236998500084,13.5736377947385,-2.8004908658105,0.00747490101614974,0.999634798579701,-2.94012822913209
"219603_s_at","chr5",0.36699887638887,8.65556462306949,2.79127506980013,0.00765837687911877,0.999634798579701,-2.95243019910689
"215809_at","chr21_GL383581v2_alt",-0.210636033710733,7.68019810334884,-2.78891057175161,0.00770611897712927,0.999634798579701,-2.95558276845692
"221598_s_at","chr6_GL000253v2_alt",0.211393814474966,6.27987524672636,2.7864015953717,0.0077570794883349,0.999634798579701,-2.95892629087283
"213591_at","chr2",0.382847101231801,6.15317255595202,2.77774006824914,0.00793541320912254,0.999634798579701,-2.97045552861052
"213773_x_at","chr2",0.220502198727471,7.87146060705606,2.77633752085342,0.00796464488468961,0.999634798579701,-2.97232049126233
"203994_s_at","chr11",0.220593517609133,7.05889838924407,2.7739976872321,0.00801363315577194,0.999634798579701,-2.97543054841972
"205509_at","chr12",0.219911974854281,4.50466838946597,2.76965536921233,0.00810528608088706,0.999634798579701,-2.98119824285955
"201778_s_at","chr1",0.187358195052251,9.7412579731966,2.76803514696355,0.00813973160810829,0.999634798579701,-2.98334896547438
"212507_at","chr19",0.255499645936883,7.89805493320786,2.76162676127789,0.00827730300468892,0.999634798579701,-2.99184845059795
"210574_s_at","chr17",0.234049345264795,10.0619995860768,2.75894904808155,0.00833542068302523,0.999634798579701,-2.99539652516914
"218266_s_at","chr4",-0.260651195494333,5.57433685181371,-2.75619578336323,0.00839557120859317,0.999634798579701,-2.99904261722095
"217602_at","chr3",-0.231213662028752,4.75864976953612,-2.75386882502529,0.00844672070803706,0.999634798579701,-3.00212250457696
